Date-Time,HX_Example_Data_V11_v1?Hot_Liquid_Flow_Data,HX_Example_Data_V11_v1?Cold_Liquid_Flow_Data,HX_Example_Data_V11_v1?T_Hot_in_Data,HX_Example_Data_V11_v1?T_Cold_Out_Data,HX_Example_Data_V11_v1?T_Hot_out_Data,HX_Example_Data_V11_v1?T_Cold_In_Data
2015-10-27T00:00:00,196487.9208,722337.9225,505.6833333,322.1835417,273.4925,201.7664583
2015-10-28T00:00:00,196015.2033,693499.2742,503.6802083,319.285625,268.3479167,196.8822917
2015-10-29T00:00:00,195999.9265,663677.0671,500.6691667,318.1022917,265.3022917,190.565625
2015-10-30T00:00:00,195999.2385,691335.1252,503.2283333,316.5460417,264.9404167,188.0983333
2015-10-31T00:00:00,196018.5113,713292.7292,507.979375,317.7777083,267.3164583,190.871875
2015-11-01T00:00:00,196019.7471,711352.3135,509.5885417,317.7866667,266.7722917,193.6483333
2015-11-02T00:00:00,196015.045,707699.735,509.45,313.605,261.045,191.19
2015-11-03T00:00:00,196013.8744,718706.724,508.956875,312.9308333,261.27375,191.55875
2015-11-04T00:00:00,196008.6658,735005.0915,509.8547917,314.634375,264.89875,191.456875
2015-11-05T00:00:00,196007.4656,728416.0742,509.25875,313.3339583,263.2985417,187.8670833
2015-11-06T00:00:00,196001.9923,722713.7338,506.6064583,305.0014583,253.2733333,180.799375
2015-11-07T00:00:00,196008.2373,730124.9208,507.7685417,303.365625,251.8839583,178.9314583
2015-11-08T00:00:00,196005.2644,735732.3915,512.1741667,313.9395833,264.7614583,189.1589583
2015-11-09T00:00:00,195988.5373,735235.2496,513.4710417,318.3902083,269.8725,195.3491667
2015-11-10T00:00:00,195993.8185,735243.9171,512.15875,318.7270833,270.5541667,196.4185417
2015-11-11T00:00:00,196016.569,733034.5675,510.03125,319.015,271.285625,196.8045833
2015-11-12T00:00:00,196004.549,731269.3521,508.974375,318.89625,271.25625,196.6147917
2015-11-13T00:00:00,195978.9263,733598.0142,510.2902083,321.0777083,273.8697917,199.8002083
2015-11-14T00:00:00,195996.1779,735299.3694,510.3789583,319.5,272.130625,198.46125
2015-11-15T00:00:00,196017.3098,735278.6913,509.4677083,314.7127083,266.569375,191.785
2015-11-16T00:00:00,195998.4715,728402.2033,508.68125,314.1739583,265.6858333,190.83625
2015-11-17T00:00:00,195981.3015,727281.4925,509.3902083,316.6870833,268.6077083,194.7604167
2015-11-18T00:00:00,195991.6152,734719.1804,511.5897917,319.1783333,272.009375,198.144375
2015-11-19T00:00:00,195984.77,735289.0894,512.24875,319.9629167,273.2635417,198.1889583
2015-11-20T00:00:00,195996.1498,731146.9381,511.029375,318.2870833,271.2985417,195.1477083
2015-11-21T00:00:00,195995.736,730708.466,508.735625,316.7610417,270.109375,194.4377083
2015-11-22T00:00:00,195971.7633,733930.5579,506.34,316.0525,270.4120833,196.6541667
2015-11-23T00:00:00,195978.9077,733619.2083,506.723125,316.7375,271.4397917,197.8727083
2015-11-24T00:00:00,195950.1554,735019.9965,508.3866667,316.443125,270.8433333,196.1370833
2015-11-25T00:00:00,195974.0779,735300.0856,508.2,315.7958333,270.2047917,194.9679167
2015-11-26T00:00:00,195566.5471,735225.1188,507.9085417,315.2979167,269.824375,193.8525
2015-11-27T00:00:00,195504.7881,733835.2621,507.2145833,314.0185417,268.3983333,191.4554167
2015-11-28T00:00:00,196009.2152,733748.8458,505.303125,314.045,268.7266667,192.214375
2015-11-29T00:00:00,196019.1821,735240.0313,501.236875,313.5614583,269.10875,194.2475
2015-11-30T00:00:00,196001.5404,735229.7721,499.25625,313.0629167,269.191875,195.5239583
2015-12-01T00:00:00,195996.6394,709354.0665,498.8045833,319.795,276.4295833,205.0352083
2015-12-02T00:00:00,195996.1963,707060.5919,499.1139583,322.7608333,280.216875,210.461875
2015-12-03T00:00:00,195976.0706,735232.369,500.2941667,317.5308333,275.5566667,205.32125
2015-12-04T00:00:00,195995.3054,735254.6798,500.4775,317.5697917,275.996875,206.2170833
2015-12-05T00:00:00,196010.6875,735192.3963,500.9816667,319.0872917,277.9714583,208.7922917
2015-12-06T00:00:00,195992.1565,735240.266,500.155,315.223125,273.26125,201.8714583
2015-12-07T00:00:00,196000.1183,735299.7998,498.7808333,309.8147917,266.7795833,193.071875
